https://www.CryptoDataDownload.com
id,unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume USD,tradecount
442053,1607126400,2020-12-05 00:00:00,ETH/USD,567.57,569.16,561.34,565.99,563.85,4609.90214491,2609158.514997611,1210
442052,1607040000,2020-12-04 00:00:00,ETH/USD,616.57,620.57,565.62,567.79,594.26,89002.06494963,50534482.45775042,22958
442051,1606953600,2020-12-03 00:00:00,ETH/USD,597.50,624.53,586.24,616.57,607.26,65570.49432186,40428799.68402922,17076
442050,1606867200,2020-12-02 00:00:00,ETH/USD,586.01,605.34,575.20,597.74,592.22,61798.09686065,36939194.41748493,18283
442049,1606780800,2020-12-01 00:00:00,ETH/USD,616.84,636.58,555.71,586.38,599.67,192132.40413581,112662599.13715628,40094
442048,1606694400,2020-11-30 00:00:00,ETH/USD,576.45,617.37,571.23,616.65,595.27,143580.36233871,88538830.43616551,31782
442047,1606608000,2020-11-29 00:00:00,ETH/USD,538.01,576.90,530.75,576.22,554.33,71937.12858139,41451612.23116855,16755
442046,1606521600,2020-11-28 00:00:00,ETH/USD,518.81,548.50,507.10,538.27,529.75,71826.71678382,38662166.84322679,19555
442045,1606435200,2020-11-27 00:00:00,ETH/USD,520.29,530.99,493.44,518.80,511.44,85762.26479470,44493462.975490354,19693
442044,1606348800,2020-11-26 00:00:00,ETH/USD,569.30,577.43,478.38,520.00,518.36,260262.05807180,135336270.19733602,56131
442043,1606262400,2020-11-25 00:00:00,ETH/USD,605.28,606.63,554.00,569.52,586.11,96865.19190828,55166664.09560362,25577
442042,1606176000,2020-11-24 00:00:00,ETH/USD,609.01,623.47,590.00,605.28,607.20,142957.42365857,86529269.39205925,35191
442041,1606089600,2020-11-23 00:00:00,ETH/USD,560.88,611.58,550.62,609.09,590.39,152818.24088851,93080062.34278256,37288
442040,1606003200,2020-11-22 00:00:00,ETH/USD,552.57,581.82,512.00,561.48,550.35,130655.99116526,73360725.91947019,31150
442039,1605916800,2020-11-21 00:00:00,ETH/USD,510.37,553.50,502.72,552.55,527.85,102160.70823348,56448899.33440937,25070
442038,1605830400,2020-11-20 00:00:00,ETH/USD,472.05,514.77,471.50,510.38,500.24,108562.06245637,55407905.43648212,25818
442037,1605744000,2020-11-19 00:00:00,ETH/USD,479.26,481.99,465.20,471.97,475.01,48357.17613413,22823136.420025337,11708
442036,1605657600,2020-11-18 00:00:00,ETH/USD,482.79,495.40,454.56,479.11,477.29,141538.26627282,67812398.7539708,25321
442035,1605571200,2020-11-17 00:00:00,ETH/USD,460.73,484.90,460.29,482.89,475.64,90310.06964491,43609829.53083059,18549
442034,1605484800,2020-11-16 00:00:00,ETH/USD,448.22,466.00,445.95,460.30,458.07,52599.71693786,24211649.706496958,13443
442033,1605398400,2020-11-15 00:00:00,ETH/USD,461.38,463.14,440.44,448.49,450.93,46902.42886507,21035270.321695242,12723
442032,1605312000,2020-11-14 00:00:00,ETH/USD,477.26,477.98,451.95,461.18,462.48,45791.82579323,21118274.21932181,11189
442031,1605225600,2020-11-13 00:00:00,ETH/USD,463.11,478.48,458.00,477.06,469.20,75582.03793856,36057167.01896943,15724
442030,1605139200,2020-11-12 00:00:00,ETH/USD,463.69,470.00,451.10,462.86,460.07,66834.94427632,30935222.307737477,15109
442029,1605052800,2020-11-11 00:00:00,ETH/USD,451.59,476.57,450.02,464.39,464.56,80321.70756459,37300597.77591995,18224
442028,1604966400,2020-11-10 00:00:00,ETH/USD,444.69,455.16,439.00,451.35,448.33,56256.84052489,25391524.970909104,12356
442027,1604880000,2020-11-09 00:00:00,ETH/USD,454.47,459.63,434.63,444.33,447.66,88681.71845238,39403947.959946,17722
442026,1604793600,2020-11-08 00:00:00,ETH/USD,435.67,460.89,432.67,454.60,448.85,55142.27884227,25067679.961695943,14962
442025,1604707200,2020-11-07 00:00:00,ETH/USD,456.58,468.83,425.00,435.81,447.24,128871.46018709,56163471.06413569,25726
442024,1604620800,2020-11-06 00:00:00,ETH/USD,417.04,458.70,415.52,456.43,438.56,131858.29667143,60184082.349740796,28354
442023,1604534400,2020-11-05 00:00:00,ETH/USD,402.88,421.64,396.50,417.04,409.31,93752.26026705,39098442.62177054,19453
