https://www.CryptoDataDownload.com
id,unix,date,symbol,open,high,low,close,vwap,Volume XRP,Volume USD,tradecount
442773,1607126400,2020-12-05 00:00:00,XRP/USD,0.55313,0.55747,0.54832,0.55192,0.55166,1192600.42643332,658220.0273570779,310
442772,1607040000,2020-12-04 00:00:00,XRP/USD,0.62980,0.63459,0.54300,0.55380,0.58904,66608649.34149087,36887870.00531764,20127
442771,1606953600,2020-12-03 00:00:00,XRP/USD,0.62979,0.64249,0.61447,0.63098,0.62740,31069063.12613194,19603957.45132673,9182
442770,1606867200,2020-12-02 00:00:00,XRP/USD,0.61153,0.63711,0.59348,0.63098,0.61506,41955012.70468521,26472773.916402273,13624
442769,1606780800,2020-12-01 00:00:00,XRP/USD,0.66470,0.68188,0.57287,0.61117,0.63413,92344129.24807663,56437961.472546995,28006
442768,1606694400,2020-11-30 00:00:00,XRP/USD,0.60595,0.68898,0.59900,0.66415,0.63884,87468492.54241387,58092199.32204418,27341
442767,1606608000,2020-11-29 00:00:00,XRP/USD,0.62674,0.63799,0.58291,0.60568,0.60861,71353127.92725358,43217162.52297895,19306
442766,1606521600,2020-11-28 00:00:00,XRP/USD,0.56200,0.65547,0.54014,0.62706,0.60147,90993958.98756184,57058671.92274052,27605
442765,1606435200,2020-11-27 00:00:00,XRP/USD,0.53700,0.58800,0.49552,0.56192,0.54306,85594538.06044361,48097282.82692447,25248
442764,1606348800,2020-11-26 00:00:00,XRP/USD,0.63013,0.65180,0.45501,0.53700,0.53227,212615879.90781298,114174727.51049557,64959
442763,1606262400,2020-11-25 00:00:00,XRP/USD,0.69353,0.72399,0.58126,0.63053,0.65525,171666650.11054549,108240972.89420225,52678
442762,1606176000,2020-11-24 00:00:00,XRP/USD,0.61749,0.78716,0.56641,0.69401,0.66998,305590624.41416854,212082949.24967712,99380
442761,1606089600,2020-11-23 00:00:00,XRP/USD,0.44603,0.62000,0.43266,0.61686,0.53116,181299581.64284483,111836459.93220526,50655
442760,1606003200,2020-11-22 00:00:00,XRP/USD,0.46316,0.49800,0.40401,0.44669,0.45089,159910788.76035458,71430550.23136279,41876
442759,1605916800,2020-11-21 00:00:00,XRP/USD,0.33020,0.47084,0.32997,0.46241,0.40184,136056258.00538414,62913774.26426968,33900
442758,1605830400,2020-11-20 00:00:00,XRP/USD,0.30394,0.33113,0.29727,0.33041,0.31505,32736725.92948089,10816541.614359781,9596
442757,1605744000,2020-11-19 00:00:00,XRP/USD,0.29380,0.30694,0.28424,0.30386,0.29864,23892367.35477700,7259934.74442254,6285
442756,1605657600,2020-11-18 00:00:00,XRP/USD,0.30278,0.30820,0.28049,0.29366,0.29420,30107357.69786144,8841326.66155399,8545
442755,1605571200,2020-11-17 00:00:00,XRP/USD,0.28815,0.30550,0.28771,0.30278,0.29907,34477531.95941067,10439107.126670362,9905
442754,1605484800,2020-11-16 00:00:00,XRP/USD,0.26925,0.28989,0.26767,0.28817,0.28100,21018089.37846543,6056782.816192382,6260
442753,1605398400,2020-11-15 00:00:00,XRP/USD,0.26862,0.27705,0.26429,0.26964,0.27149,13498930.03482036,3639851.4945889614,3942
442752,1605312000,2020-11-14 00:00:00,XRP/USD,0.26600,0.27752,0.26111,0.26860,0.26980,22248799.51053579,5976027.548529914,6179
442751,1605225600,2020-11-13 00:00:00,XRP/USD,0.25499,0.26598,0.25413,0.26598,0.26016,14143496.80907401,3761887.281277505,3622
442750,1605139200,2020-11-12 00:00:00,XRP/USD,0.25613,0.25829,0.25281,0.25499,0.25538,9872902.28313828,2517491.35317743,2736
442749,1605052800,2020-11-11 00:00:00,XRP/USD,0.25432,0.26000,0.25274,0.25612,0.25788,13841436.43506377,3545068.699748533,3374
442748,1604966400,2020-11-10 00:00:00,XRP/USD,0.25055,0.26462,0.24823,0.25409,0.25572,13762811.93241057,3496992.8839062015,3465
442747,1604880000,2020-11-09 00:00:00,XRP/USD,0.25369,0.25610,0.24593,0.25056,0.25081,14850842.10933505,3721026.99891499,3530
442746,1604793600,2020-11-08 00:00:00,XRP/USD,0.24923,0.25722,0.24784,0.25369,0.25298,7714922.96228754,1957198.806302726,2091
442745,1604707200,2020-11-07 00:00:00,XRP/USD,0.25884,0.26752,0.24432,0.24923,0.25501,22114576.71889755,5511615.955650837,5488
442744,1604620800,2020-11-06 00:00:00,XRP/USD,0.24605,0.26194,0.24554,0.25864,0.25456,21917897.21398388,5668844.93542479,5056
442743,1604534400,2020-11-05 00:00:00,XRP/USD,0.23845,0.24752,0.23730,0.24602,0.24300,18916214.35594721,4653767.055850132,4428
442742,1604448000,2020-11-04 00:00:00,XRP/USD,0.23972,0.24052,0.23267,0.23790,0.23705,8978000.15803195,2135866.237595801,2225
442741,1604361600,2020-11-03 00:00:00,XRP/USD,0.23546,0.24420,0.22838,0.23948,0.23534,10198517.07899300,2442340.8700772435,2893
442740,1604275200,2020-11-02 00:00:00,XRP/USD,0.24060,0.24489,0.23297,0.23549,0.23793,7677591.77972312,1807996.0882069976,2225
442739,1604188800,2020-11-01 00:00:00,XRP/USD,0.23975,0.24148,0.23689,0.24009,0.23948,3347617.68849616,803729.530831043,1127
442738,1604102400,2020-10-31 00:00:00,XRP/USD,0.23929,0.24376,0.23790,0.23999,0.24036,8233021.23328373,1975842.7657757625,1821
442737,1604016000,2020-10-30 00:00:00,XRP/USD,0.24259,0.24416,0.23101,0.23930,0.23800,8881549.42687142,2125354.7778503313,2687
442736,1603929600,2020-10-29 00:00:00,XRP/USD,0.24557,0.24725,0.24000,0.24239,0.24383,10444691.13390369,2531688.6839469154,2613
442735,1603843200,2020-10-28 00:00:00,XRP/USD,0.25276,0.25676,0.24448,0.24559,0.24889,8924112.18193406,2191672.7107611857,3040
442734,1603756800,2020-10-27 00:00:00,XRP/USD,0.24849,0.25420,0.24796,0.25277,0.25137,7294472.45262904,1843823.8018510423,2325
442733,1603670400,2020-10-26 00:00:00,XRP/USD,0.25328,0.25900,0.24400,0.24854,0.25139,9828905.58039609,2442876.1929516443,2891
442732,1603584000,2020-10-25 00:00:00,XRP/USD,0.25630,0.25738,0.25151,0.25323,0.25360,5602960.58893733,1418837.7099366002,1615
