Date,NIO,BTC,ETH,XRP,ADA,JKS,SPWR,AAPL
2018-12-10,7.03,3408.0,89.15,7.03,0.030202999999999997,12.01,4.335298000000001,42.400002
2018-12-11,7.08,3347.9,86.84,7.08,0.029550999999999997,12.19,4.125737,42.157501
2018-12-12,7.54,3435.5,89.14,7.54,0.030608999999999997,12.37,4.1977730000000015,42.275002
2018-12-13,7.75,3260.0,85.19,7.75,0.029189999999999997,12.63,4.132286,42.737499
2018-12-14,7.7,3194.9,82.83,7.7,0.028357999999999998,11.37,4.00131,41.369999
2018-12-17,7.03,3502.0,93.75,7.03,0.032824,11.15,3.791749,40.985001000000004
2018-12-18,7.07,3669.1,101.0,7.07,0.034735,11.05,3.8441389999999998,41.517502
2018-12-19,6.83,3683.6,99.42,6.83,0.034545,10.68,3.706614,40.2225
2018-12-20,6.52,4074.3,114.24,6.52,0.039401,10.26,3.5297970000000003,39.2075
2018-12-21,6.07,3837.0,107.75,6.07,0.040796,9.59,3.320236,37.682499
2018-12-24,5.92,4030.0,139.73,5.92,0.045716,9.5,3.012443,36.7075
2018-12-26,6.36,3808.2,130.34,6.36,0.041198,10.16,3.24165,39.2925
2018-12-27,6.43,3588.6,114.14,6.43,0.036944,9.95,3.235101,39.037498
2018-12-28,6.47,3890.5,137.25,6.47,0.041862,9.83,3.3136870000000003,39.057499
2018-12-31,6.37,3689.0,130.86,6.37,0.041063,9.89,3.2547479999999998,39.435001
2019-01-02,6.2,3886.2,153.51,6.2,0.045258,10.19,3.320236,39.48
2019-01-03,6.05,3786.5,146.88,6.05,0.042682,10.1,3.300589,35.54750100000001
2019-01-04,6.36,3823.6,153.48,6.36,0.043812000000000004,10.93,3.4839550000000004,37.064999
2019-01-07,6.5,4005.3,150.53,6.5,0.047996,11.4,3.588736,36.982498
2019-01-08,6.4,3992.7,148.88,6.4,0.048525,11.47,3.418468,37.6875
2019-01-09,6.63,4000.0,149.29,6.63,0.05216900000000002,11.75,3.4970529999999997,38.327498999999996
2019-01-10,6.66,3622.9,126.4,6.66,0.044529,12.54,3.549443,38.450001
2019-01-11,6.59,3635.1,125.92,6.59,0.044147000000000006,12.32,3.5821870000000002,38.072497999999996
2019-01-14,6.8,3664.8,128.31,6.8,0.044059,12.31,3.6018339999999998,37.5
2019-01-15,6.82,3587.0,120.0,6.82,0.04281,12.32,3.588736,38.267502
2019-01-16,6.71,3604.7,122.14,6.71,0.044777,12.62,3.549443,38.735001000000004
2019-01-17,6.81,3644.7,122.45,6.81,0.045318000000000004,12.97,3.595285,38.965
2019-01-18,6.71,3612.2,119.78,6.71,0.044316,12.7,3.555992,39.205002
2019-01-22,6.57,3575.8,117.88,6.57,0.043578,12.17,3.418468,38.325001
2019-01-23,6.55,3556.1,116.59,6.55,0.0429,12.57,3.398821,38.48
2019-01-24,6.58,3568.3,116.36,6.58,0.043026999999999996,13.56,3.595285,38.174999
2019-01-25,6.65,3560.0,115.08,6.65,0.042691,15.24,3.6083819999999998,39.439999
2019-01-28,6.67,3431.0,105.43,6.67,0.038772,15.76,3.6411260000000003,39.075001
2019-01-29,6.94,3395.0,104.01,6.94,0.038251,15.26,3.575639,38.669998
2019-01-30,7.46,3436.9,107.5,7.46,0.039656,15.89,3.693517,41.3125
2019-01-31,7.88,3409.6,105.74,7.88,0.038374,16.66,3.804846,41.610001000000004
2019-02-01,7.9,3437.2,105.69,7.9,0.038678,15.15,3.6738699999999995,41.630001
2019-02-04,7.85,3413.9,106.03,7.85,0.037857,16.049999,3.680419,42.8125
2019-02-05,7.88,3429.5,106.03,7.88,0.037896,15.85,3.83759,43.544998
2019-02-06,8.4,3367.4,103.26,8.4,0.036663,16.6,3.759005,43.560001
2019-02-07,8.04,3357.1,103.32,8.04,0.036396,15.63,3.857236,42.735001000000004
2019-02-08,7.67,3622.1,118.07,7.67,0.040751,15.7,3.739358,42.602501000000004
2019-02-11,7.46,3591.7,119.52,7.46,0.041733,16.200001,3.804846,42.357498
2019-02-12,7.44,3588.9,121.18,7.44,0.041750999999999996,16.17,3.7982970000000003,42.7225
2019-02-13,7.49,3579.8,120.58,7.49,0.041118,16.42,3.8899800000000004,42.544998
2019-02-14,7.48,3562.4,119.37,7.48,0.04054,16.52,4.119187999999999,42.700001
2019-02-15,7.41,3567.4,120.48,7.41,0.0406,16.0,3.8768830000000003,42.605
2019-02-19,7.26,3888.1,142.84,7.26,0.046158,18.58,4.099542,42.732498
2019-02-20,7.62,3943.2,147.71,7.62,0.047550999999999996,17.860001,4.0537,43.0075
2019-02-21,7.64,3897.1,144.17,7.64,0.044969,18.32,4.256712,42.764998999999996
2019-02-22,8.17,3941.2,146.94,8.17,0.046163,20.940001000000002,4.282907,43.2425
2019-02-25,9.0,3819.8,137.54,9.0,0.044043,20.51,4.145383,43.557499
2019-02-26,9.79,3796.7,135.71,9.79,0.043304,20.5,4.223969,43.5825
2019-02-27,9.85,3799.1,134.11,9.85,0.043269999999999996,20.07,4.21742,43.717499
2019-02-28,9.57,3793.6,134.52,9.57,0.043123,20.59,4.223969,43.287498
2019-03-01,10.06,3804.9,134.79,10.06,0.043279000000000005,20.809998999999998,4.237066,43.7425
2019-03-04,9.78,3700.1,125.1,9.78,0.040602,19.18,4.210871,43.962502
2019-03-05,10.16,3844.9,136.49,10.16,0.043212,18.360001,4.171578,43.8825
2019-03-06,8.01,3851.7,136.92,8.01,0.042843,16.67,4.112639,43.630001
2019-03-07,7.09,3854.0,136.11,7.09,0.042944,16.73,4.014407,43.125
2019-03-08,7.06,3840.5,132.74,7.06,0.042664,16.67,4.0275050000000014,43.227501000000004
2019-03-11,6.59,3851.2,131.7,6.59,0.047633,18.42,4.263261,44.724998
2019-03-12,6.39,3863.1,132.91,6.39,0.047397,18.459999,4.1846760000000005,45.227501000000004
2019-03-13,6.53,3852.8,131.12,6.53,0.04659,18.440001000000002,4.276358999999999,45.427502000000004
2019-03-14,6.03,3856.9,131.4,6.03,0.048055,19.309998999999998,4.210871,45.932499
2019-03-15,5.71,3900.3,135.89,5.71,0.050076999999999997,19.219998999999998,4.151932,46.529999
2019-03-18,5.75,3969.6,136.85,5.75,0.050452,19.92,4.21742,47.005001
2019-03-19,5.96,3999.9,137.96,5.96,0.052594000000000016,20.83,4.3549440000000015,46.6325
2019-03-20,5.85,4033.0,138.82,5.85,0.053890999999999994,21.549999,4.394237,47.040001000000004
2019-03-21,5.84,3974.3,134.3,5.84,0.0529,19.610001,4.256712,48.772498999999996
2019-03-22,5.62,3984.1,135.78,5.62,0.058062,17.139999,4.020956,47.762501
2019-03-25,5.35,3906.0,132.93,5.35,0.059025,17.35,4.020956,47.185001
2019-03-26,4.96,3918.8,133.29,4.96,0.06237,16.82,4.073347,46.697497999999996
2019-03-27,4.98,4026.1,139.15,4.98,0.067595,16.98,4.092993,47.1175
2019-03-28,5.01,4013.7,137.35,5.01,0.065828,17.610001,4.21742,47.18
2019-03-29,5.1,4088.9,142.71,5.1,0.071289,18.0,4.263261,47.487499
2019-04-01,5.21,4137.8,141.05,5.21,0.07232999999999999,18.85,4.43353,47.810001
2019-04-02,5.39,4902.9,164.62,5.39,0.085467,19.299999,4.518664,48.505001
2019-04-03,5.31,4972.2,161.3,5.31,0.090723,19.870001000000002,4.741323,48.837502
2019-04-04,5.35,4907.7,157.51,5.35,0.08737,19.82,4.780616,48.922501000000004
2019-04-05,5.36,5038.1,165.72,5.36,0.091226,19.870001000000002,4.846104,49.25
2019-04-08,5.3,5285.1,180.54,5.3,0.087009,19.860001,4.990177,50.025002
2019-04-09,5.08,5190.8,175.9,5.08,0.083749,19.530001000000002,4.891945,49.875
2019-04-10,5.05,5320.5,177.54,5.05,0.089964,18.57,5.108055,50.154999
2019-04-11,5.01,5041.7,164.89,5.01,0.083385,17.17,5.055665,49.737499
2019-04-12,4.99,5081.1,164.42,4.99,0.083463,17.709999,4.970530999999999,49.717499
2019-04-15,4.75,5041.4,160.6,4.75,0.082307,17.98,4.891945,49.807499
2019-04-16,4.45,5204.0,166.37,4.45,0.08378300000000001,18.57,4.963982,49.8125
2019-04-17,4.59,5225.0,166.58,4.59,0.083074,19.030001000000002,4.91814,50.782501
2019-04-18,4.79,5282.8,174.04,4.79,0.081775,19.030001000000002,4.86575,50.965
2019-04-22,4.78,5384.0,171.56,4.78,0.07804,19.76,4.898494,51.1325
2019-04-23,4.83,5530.1,170.51,4.83,0.074524,19.700001,4.937787,51.869999
2019-04-24,5.0,5444.2,165.72,5.0,0.072645,19.709999,4.957433,51.790001000000004
2019-04-25,4.9,5131.8,152.09,4.9,0.069244,19.73,4.898494,51.32
2019-04-26,4.92,5153.0,153.05,4.92,0.069219,19.790001,4.990177,51.075001
2019-04-29,4.98,5149.0,152.29,4.98,0.064631,19.42,5.009823,51.1525
2019-04-30,4.85,5273.0,160.36,4.85,0.070346,19.459999,4.728225,50.1675
2019-05-01,4.68,5324.1,158.55,4.68,0.06901399999999999,19.18,4.695481,52.630001
2019-05-02,4.72,5390.5,158.81,4.72,0.068579,19.530001000000002,4.715127,52.287498
2019-05-03,5.02,5660.0,164.52,5.02,0.069858,20.99,4.937787,52.9375
