Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,4.276359,4.381139,4.217420,4.335298,4.335298,1658100
2018-12-11,4.394237,4.433530,4.106091,4.125737,4.125737,2006900
2018-12-12,4.184676,4.282907,4.138834,4.197773,4.197773,1564800
2018-12-13,4.204322,4.276359,4.099542,4.132286,4.132286,2226800
2018-12-14,4.092993,4.132286,3.962017,4.001310,4.001310,2219100
2018-12-17,3.988212,4.047151,3.752456,3.791749,3.791749,3712100
2018-12-18,3.844139,3.935822,3.772102,3.844139,3.844139,2246300
2018-12-19,3.844139,3.909627,3.693517,3.706614,3.706614,2306800
2018-12-20,3.706614,3.831041,3.438114,3.529797,3.529797,3500100
2018-12-21,3.536346,3.628029,3.287492,3.320236,3.320236,4449000
2018-12-24,3.274394,3.320236,2.979699,3.012443,3.012443,3420100
2018-12-26,3.104126,3.254748,3.045187,3.241650,3.241650,2777000
2018-12-27,3.202358,3.241650,3.012443,3.235101,3.235101,2792400
2018-12-28,3.241650,3.352980,3.163065,3.313687,3.313687,2979300
2018-12-31,3.313687,3.366077,3.202358,3.254748,3.254748,2500700
2019-01-02,3.189260,3.392272,3.143419,3.320236,3.320236,1803600
2019-01-03,3.294041,3.444663,3.248199,3.300589,3.300589,2480600
2019-01-04,3.339882,3.588736,3.339882,3.483955,3.483955,2608100
2019-01-07,3.497053,3.667321,3.431565,3.588736,3.588736,2315800
2019-01-08,3.549443,3.562541,3.372626,3.418468,3.418468,3706400
2019-01-09,3.451211,3.588736,3.444663,3.497053,3.497053,2648200
2019-01-10,3.490504,3.634578,3.470858,3.549443,3.549443,1851400
2019-01-11,3.529797,3.601834,3.503602,3.582187,3.582187,1297000
2019-01-14,3.542895,3.759005,3.542895,3.601834,3.601834,2230600
2019-01-15,3.608382,3.686968,3.569090,3.588736,3.588736,1667900
2019-01-16,3.588736,3.647675,3.516699,3.549443,3.549443,1673500
2019-01-17,3.536346,3.634578,3.529797,3.595285,3.595285,1595100
2019-01-18,3.621480,3.686968,3.549443,3.555992,3.555992,2071200
2019-01-22,3.536346,3.562541,3.339882,3.418468,3.418468,2620300
2019-01-23,3.431565,3.477407,3.313687,3.398821,3.398821,2028300
2019-01-24,3.398821,3.608382,3.379175,3.595285,3.595285,2926900
2019-01-25,3.608382,3.732810,3.601834,3.608382,3.608382,2337600
2019-01-28,3.503602,3.660773,3.477407,3.641126,3.641126,1703000
2019-01-29,3.647675,3.713163,3.549443,3.575639,3.575639,2543200
2019-01-30,3.765553,3.765553,3.614931,3.693517,3.693517,1811000
2019-01-31,3.700065,3.935822,3.700065,3.804846,3.804846,2800900
2019-02-01,3.831041,3.863785,3.582187,3.673870,3.673870,3026800
2019-02-04,3.667321,3.765553,3.647675,3.680419,3.680419,1162500
2019-02-05,3.693517,4.053700,3.647675,3.837590,3.837590,4952800
2019-02-06,3.889980,3.975115,3.739358,3.759005,3.759005,2176800
